n,min_hop_fixed,max_path_fixed,min_hop_demand,max_path_demand,inverse_capacity,shortest_widest
5,0.020800,0.106800,0.000000,0.000000,0.000000,0.000000
6,0.037300,0.150000,0.000100,0.000100,0.000200,0.000000
7,0.047700,0.192300,0.000300,0.000400,0.000000,0.000300
8,0.069000,0.236000,0.000400,0.002200,0.000600,0.001200
9,0.086500,0.266300,0.000900,0.002700,0.001300,0.003000
10,0.100000,0.294300,0.002700,0.007000,0.003300,0.003500
20,0.264100,0.505900,0.154400,0.183400,0.160300,0.172400
50,0.525100,0.705800,0.562300,0.562500,0.561100,0.559400
100,0.698400,0.814600,0.742100,0.747200,0.734300,0.736900
